"student_id","student_names","phone_no","math","physics","chemistry","grade","comment","roll_no","student_address","school_id"
4011,Jennifer Anderson,9606432893,80,55,76,B,Average Performance,588498.0,"598 Sloan Parks Suite 339, Wonghaven, AL 08710",5
4012,Christina Hogan,9324323756,36,13,71,D,Poor Pursuance,559949.0,"99653 Stewart Park, Lake Meganfort, MN 73598",5
4013,David Morrow,9879877032,55,44,47,D,Poor Pursuance,570438.0,"0235 Victoria Harbors, Caseyton, NC 95495",5
4014,Miguel Anderson,9035143554,10,50,35,F,Failed,598167.0,"Unit 2422 Box 8297, DPO AA 76750",5
4015,Carol Gonzalez,9652980313,53,65,34,D,Poor Pursuance,540102.0,"257 Jenny Ports, Michaelfort, NM 50319",5
4016,Edward Estrada,9516901459,76,64,59,B,Average Performance,530991.0,"697 Lori Island Suite 118, South Michelle, MA 21480",5
4017,Marc Fisher,9642079218,12,41,62,D,Poor Pursuance,525233.0,"8060 Williams Center, West Thomasport, KY 99940",5
4018,Zachary Wilson,9566193296,15,44,51,D,Poor Pursuance,579065.0,"070 Schwartz Ranch Apt. 195, East Jacquelineport, OK 64876",5
4019,Richard Keith,9779371548,60,61,23,D,Poor Pursuance,560282.0,"3274 Jason Burgs, Jasonberg, MD 21283",5
4020,Chris Coffey,9823922584,24,58,66,D,Poor Pursuance,572874.0,"0767 Holmes Wells, Port Jasonchester, VI 72814",5
4021,Jonathan Smith,9473563209,37,38,20,F,Failed,579371.0,"5376 Campbell Square Apt. 384, South Michellehaven, PW 12489",5
4022,Matthew Singh,9494630065,76,72,44,B,Average Performance,574154.0,"2923 Lewis Plains, New Ashleyview, AK 30032",5
4023,Joseph Vasquez,9793917357,60,58,62,C,Below Average Achivement,529155.0,"398 Nelson Grove, Sherriland, SC 75333",5
4024,Melissa White,9520864684,43,21,15,F,Failed,577261.0,"444 Campos Underpass, South Thomaschester, SD 69325",5
4025,Hannah Hess,9468366491,51,60,63,C,Below Average Achivement,524584.0,"994 Richard Wells, South Anna, SD 87837",5
4026,Sheila Thomas,9297496487,36,97,64,B,Average Performance,548371.0,"8702 Tara Forks Suite 267, West Jeanne, MH 68953",5
4027,Larry Reed,9232086226,35,95,38,C,Below Average Achivement,565919.0,"965 Renee Trail Suite 987, West Katherine, NE 56894",5
4028,William Valentine,9613876259,11,35,59,D,Poor Pursuance,578416.0,"835 Paul Mills, North Aprilville, CO 13593",5
4029,Matthew Dunn,9072933035,84,94,52,B+,Good Pursuance,527116.0,"PSC 0578, Box 0010, APO AA 12361",5
4030,Ashley Sutton,9824203590,77,86,42,B,Average Performance,550258.0,"501 Howell Ferry, Lake Johnberg, FM 29468",5
4031,Jennifer Gould,9956451082,47,81,82,B,Average Performance,513323.0,"1908 Cox Lodge, Perryport, HI 37104",5
4032,Ricky Allen,9220823022,20,59,96,C,Below Average Achivement,591973.0,"15888 Brenda Fort, Michellefurt, FM 42573",5
4033,Kyle James,9541152129,78,90,100,A,Very Good Achivement,546858.0,"038 David Radial Apt. 399, East Ryan, GU 46094",5
4034,Carla Cox,9590748962,64,22,74,C,Below Average Achivement,593207.0,"49250 Carroll Road Suite 567, Lake Amber, CT 50127",5
4035,Zachary Price,9825783146,14,97,64,C,Below Average Achivement,585529.0,"PSC 2022, Box 8688, APO AP 51662",5
4036,Donna Smith,9551912527,87,23,64,C,Below Average Achivement,599937.0,"842 Berg Canyon Suite 994, Lake Brandy, PW 61876",5
4037,Leonard Thomas,9832703956,20,24,40,F,Failed,540403.0,"00047 Maria Isle Suite 498, South Andrea, ND 02877",5
4038,Rhonda Garcia,9568711917,20,69,71,C,Below Average Achivement,534919.0,"73135 Robinson Burg, Port Melvinland, FM 06562",5
4039,Brenda Phillips,9589394441,14,44,98,C,Below Average Achivement,510017.0,"76583 Waters Estates Apt. 854, South Melanieview, NJ 67573",5
4040,Lauren Carlson,9390079352,39,78,18,D,Poor Pursuance,500783.0,"30597 Danny Underpass, Stewartchester, VT 12460",5
4041,Steven Oliver,9257026744,65,35,19,D,Poor Pursuance,560208.0,"14459 Brenda Creek Apt. 286, North Jacqueline, AK 92244",5
4042,Jason Perez,9911430153,76,12,10,F,Failed,569599.0,"779 Mack Islands Apt. 573, East Jordanland, OH 65606",5
4043,Caitlin Noble,9316256916,94,81,22,B,Average Performance,532309.0,"5391 Porter Lake Apt. 037, Spencermouth, KS 25832",5
4044,Mrs. Brittany Garcia,9787772289,10,71,69,D,Poor Pursuance,549703.0,"72322 William Islands Apt. 828, Valdezland, NY 64786",5
4045,Mary Ryan,9564389292,31,57,79,C,Below Average Achivement,520496.0,"7585 Paul Forge Apt. 182, Sheltonland, DC 42744",5
4046,Lee Hernandez,9550663196,47,64,17,D,Poor Pursuance,573568.0,"339 Ashley Camp Apt. 458, South Joshua, VI 48384",5
4047,Patrick Barnes,9688822683,69,51,41,C,Below Average Achivement,588728.0,"Unit 5634 Box 6384, DPO AE 70942",5
4048,Christina Griffin,9851753980,23,97,92,B,Average Performance,572862.0,"1894 Mckenzie Bridge Suite 901, Lake Christinafurt, NM 16049",5
4049,Michelle Dudley,9122692049,92,39,94,B+,Good Pursuance,518943.0,"2989 Emily Station Apt. 115, North Megan, WV 46222",5
4050,Priscilla Gonzales,9562670658,81,27,52,C,Below Average Achivement,511543.0,"Unit 9814 Box 0273, DPO AE 80449",5
4051,Dennis Hughes,9123764656,95,23,71,B,Average Performance,504572.0,"0336 Dougherty Plains Apt. 244, Rollinston, IN 27310",5
4052,Allen Harris,9057680700,69,77,89,B+,Good Pursuance,526779.0,"PSC 8686, Box 5119, APO AP 82272",5
4053,Scott Simpson,9085510668,47,90,45,C,Below Average Achivement,566970.0,"97230 Jones Mill Suite 525, Elizabethport, CO 77260",5
4054,Phillip Cortez,9559715181,40,66,29,D,Poor Pursuance,565059.0,"6955 Kevin Estates Apt. 297, Port James, ME 14101",5
4055,Morgan Brennan,9953603562,100,57,86,A,Very Good Achivement,515123.0,"7720 Scott Garden Apt. 717, Port Allisonburgh, LA 12060",5
7870,Brett Greer,9158753836,90,99,37,B+,Good Pursuance,543903.0,"075 Conner Islands, Jamesshire, FL 15320",8
4056,Micheal Rodriguez DDS,9281201988,45,75,37,C,Below Average Achivement,518905.0,"91306 Adam Squares Apt. 796, South Michele, NY 85245",5
4057,Neil Chavez,9644449156,22,91,47,C,Below Average Achivement,527410.0,"118 Sonya Causeway Apt. 659, Dylanville, CA 60663",5
4058,Ian Holmes,9127686807,38,77,61,C,Below Average Achivement,517326.0,"USNV Skinner, FPO AA 69731",5
4059,Vanessa Rodriguez,9479935404,86,15,89,B,Average Performance,516263.0,"62878 Cobb Overpass Apt. 884, Reynoldstown, WA 50344",5
4060,Marissa Ortiz,9265552092,85,14,100,B,Average Performance,505390.0,"176 Patricia River Apt. 516, Isaacton, DE 11784",5
4061,James Valenzuela,9362004821,33,46,17,F,Failed,532947.0,"4221 Rebecca Crescent, West Donna, SD 30133",5
4062,David Russell,9884323127,30,51,44,D,Poor Pursuance,514994.0,"10248 Lopez Brooks, West John, MA 60976",5
4063,Sheena Jones,9285204482,24,87,57,C,Below Average Achivement,559870.0,"5207 Curtis Port, Justinfurt, NC 59654",5
4064,Kelly Young,9513118709,16,56,45,D,Poor Pursuance,536260.0,"3481 Amy Corner Suite 979, Patelburgh, VT 00767",5
4065,Jessica Kramer,9456202698,75,57,23,C,Below Average Achivement,568383.0,"2724 Wilkinson Drives, Lake Sean, IA 05295",5
4066,Erik Walter,9558787562,79,45,94,B+,Good Pursuance,545826.0,"PSC 6870, Box 7966, APO AP 62626",5
4067,Jenna Fletcher,9980779141,84,88,46,B+,Good Pursuance,501177.0,"185 Cook River Apt. 298, Lake Adam, NE 16109",5
4068,Brian Turner,9737653082,37,65,56,C,Below Average Achivement,501025.0,"USS Morales, FPO AE 49379",5
4069,Kelly Jones,9871781933,77,38,76,B,Average Performance,578747.0,"795 Murphy Track, New Eugenemouth, ID 24492",5
4070,Nicole Bowman,9546900219,16,23,55,F,Failed,549968.0,"65781 Adams Motorway Apt. 053, Port Anita, WY 23880",5
4071,Phillip Mullins,9690623588,17,37,37,F,Failed,543420.0,"2439 Contreras Garden, Jonathanton, NC 29028",5
4072,Laura Newton,9603699166,55,35,80,C,Below Average Achivement,589581.0,"053 Joseph Inlet Suite 641, Perezchester, RI 62385",5
4073,Ronald Bonilla PhD,9116645533,58,86,69,B+,Good Pursuance,552906.0,"6081 Miller Heights Apt. 945, Bowmanborough, ND 26935",5
4074,Erica Parker,9665772772,56,68,91,B+,Good Pursuance,507659.0,"41779 Benjamin Garden Suite 128, North Robertburgh, NM 67005",5
4075,Stephen Gardner,9880314395,50,39,63,D,Poor Pursuance,575279.0,"12275 Dan Camp, Everettville, DC 26095",5
4076,Matthew Perez,9377050384,62,80,43,B,Average Performance,566367.0,"35788 Christopher Club Apt. 519, South Mark, LA 38298",5
4077,Jeffrey Smith,9474087800,51,20,20,F,Failed,549617.0,"PSC 8908, Box 3980, APO AP 14427",5
4078,Andrew Acevedo,9488683034,31,20,46,F,Failed,546418.0,"92698 Jones Fields Suite 504, Graymouth, WV 49245",5
4079,Amanda Jimenez,9091176561,20,68,57,D,Poor Pursuance,538335.0,"9986 Shane Neck, East Lydiamouth, KS 95281",5
4080,Grant Massey,9442595430,16,90,44,D,Poor Pursuance,538679.0,"4594 Brown Light, West Matthewview, WV 99255",5
4081,Danny Thomas,9698291318,32,57,93,C,Below Average Achivement,545568.0,"8150 Perez Rue Suite 395, Erikastad, UT 06214",5
4082,Ashley Carroll,9241345793,15,19,81,D,Poor Pursuance,566928.0,"814 David Courts, Claudiatown, NV 38611",5
4083,Brooke Murphy,9167755765,37,57,12,D,Poor Pursuance,580816.0,"0162 Elliott Port, Kellyside, MO 99196",5
4084,Benjamin Romero,9637417288,29,95,19,D,Poor Pursuance,525616.0,"30105 Thomas Way Apt. 052, Markmouth, NJ 35523",5
4085,Charles Sanders,9300004174,98,56,44,B,Average Performance,596381.0,"50365 Mitchell Spring Suite 615, Aprilside, OK 99276",5
4086,Isaiah Carter,9681222192,11,24,14,F,Failed,526446.0,"080 Kenneth Coves Apt. 453, South John, WV 64620",5
4087,Marie White,9756063085,49,58,10,D,Poor Pursuance,550774.0,"412 Jonathan Estate Suite 965, Jenniferport, WV 64570",5
4088,Nancy Wilson,9320529386,45,57,14,D,Poor Pursuance,572349.0,"56103 Andrea Manor Suite 653, Matthewshire, OH 89121",5
4089,Michael Hale,9821893972,91,13,81,B,Average Performance,526389.0,"94329 Miller Light, South Angela, OH 10316",5
4090,Michael Armstrong,9309836966,62,34,84,C,Below Average Achivement,544529.0,"36896 Chad Neck Suite 167, Jessemouth, KY 86499",5
4091,Tyrone Grimes,9445320794,52,78,93,B+,Good Pursuance,528550.0,"437 Bryan Turnpike, Ellisbury, VA 77456",5
4092,Michael Mccann,9437115701,92,73,79,A,Very Good Achivement,533181.0,"42068 William Corners Apt. 139, West Elizabethstad, MS 73984",5
4093,Steven Russo,9467981155,28,54,74,C,Below Average Achivement,565780.0,"7661 Mccarthy Meadows Suite 843, Flowersville, OK 84126",5
4094,Peter Fox,9728300246,39,78,80,B,Average Performance,566488.0,"6687 Stephanie Landing, South Amanda, MS 29358",5
4095,Emily Martinez,9711024187,22,18,88,D,Poor Pursuance,572042.0,"6936 Hill Spurs Suite 346, Wileyberg, AL 49303",5
4096,Joseph Sandoval,9289196752,92,87,43,B+,Good Pursuance,542997.0,"810 Davis Summit, Mullinsshire, VT 96719",5
4097,Julia Adams,9155213264,82,45,46,C,Below Average Achivement,582874.0,"263 Glover Summit, North Elizabeth, FL 01047",5
4098,Molly Osborn,9941007836,21,25,85,D,Poor Pursuance,516267.0,"242 Davenport Dam, Calebland, ND 27424",5
4099,Joshua Rodriguez,9582556898,63,53,67,B,Average Performance,584388.0,"1099 Rebecca Ports Suite 905, New Brenda, OH 85493",5
4100,Natalie Haley,9285650054,83,58,79,B+,Good Pursuance,540281.0,"47074 Cook Mill Suite 774, New Ryan, DC 39602",5
4101,Matthew Lamb,9089616683,33,12,78,D,Poor Pursuance,551603.0,"6075 Monica Spring Apt. 575, West Nicolehaven, DC 01137",5
4102,Jacqueline Wong,9265007129,58,61,93,B,Average Performance,534434.0,"092 Lee Shore, West Catherineton, MD 81269",5
4103,Timothy Schwartz,9167219397,15,76,10,D,Poor Pursuance,539306.0,"USCGC Rosales, FPO AA 93554",5
4104,Amy Richardson,9658187791,93,87,77,A,Very Good Achivement,593315.0,"610 Jessica Causeway Suite 418, Scotttown, RI 98094",5
4105,Bryan Daniel,9648495057,72,20,86,C,Below Average Achivement,563928.0,"86123 Freeman Islands, Kevinport, MT 88454",5
4106,Brandy Martin,9628015177,47,30,48,D,Poor Pursuance,512154.0,"0188 Williams Point, West Jessica, PR 82481",5
4107,Isaac Faulkner,9182468823,86,43,79,B,Average Performance,595713.0,"393 Rice Points Suite 050, East Kathryn, RI 85976",5
4108,Scott Hill,9976931036,47,23,43,D,Poor Pursuance,567966.0,"10109 Harris Wall, Port Danielhaven, AR 13364",5
4109,Ashley Jenkins,9623641393,59,29,17,D,Poor Pursuance,528075.0,"757 Devin Station Suite 993, West Sarahview, OR 25902",5
4110,Jason Acevedo,9882421931,35,71,20,D,Poor Pursuance,503861.0,"86255 Carolyn Unions Apt. 396, Lake Robert, OR 49777",5
4111,Clifford Brown,9780180813,37,33,60,D,Poor Pursuance,574995.0,"PSC 4945, Box 2962, APO AA 27949",5
4112,Scott Rivera,9642300522,29,25,25,F,Failed,573610.0,"44070 Megan Mountains, New Hollyberg, AR 29911",5
4113,Danielle Baker,9203863142,13,69,70,D,Poor Pursuance,501416.0,"95459 Welch Fall Suite 296, Davidport, FL 84742",5
4114,Jonathan Carpenter,9766752515,99,17,62,C,Below Average Achivement,572899.0,"54992 Christopher Orchard, Erinfort, RI 00780",5
4115,Rachel Glenn,9859826824,56,42,88,B,Average Performance,574944.0,"07156 Dana Falls, Henryton, WA 33529",5
4116,Tanya Martinez,9817990735,98,36,80,B+,Good Pursuance,564287.0,"243 Marshall Via, Port Chelseaview, LA 05113",5
4117,Tara Simpson,9874961109,36,54,54,D,Poor Pursuance,508175.0,"139 Figueroa Courts, South Jeremy, ME 80322",5
4118,William Davis,9970399551,70,91,15,C,Below Average Achivement,575222.0,"47846 Jones Fields Suite 265, Gonzalezfort, WA 32238",5
4119,Joseph Ortiz,9556874508,76,41,46,C,Below Average Achivement,572114.0,"08844 Benson Mill Suite 729, East Kim, VA 75829",5
4120,Abigail Combs,9180659138,12,51,31,F,Failed,570152.0,"66713 Keith Ports, South Michaelchester, GU 62404",5
4121,Steven Miller,9668222714,56,17,54,D,Poor Pursuance,507370.0,"7474 Woods Skyway Apt. 827, East Justin, UT 91164",5
4122,Bryan Hayes,9665616642,100,50,11,C,Below Average Achivement,525708.0,"0114 Porter Mews Apt. 670, North Samuel, TX 49799",5
4123,Scott Cowan,9122522646,62,61,54,C,Below Average Achivement,586186.0,"2042 Carl Loop Suite 070, Robertschester, NE 13812",5
